"basepk","speechdate","maintopic","subtopic","subsubtopic","speakerparty","speakerriding","speakername","speech_date","year","month","day","weekday","speechmonth","clean_text"
515726,"1918-05-22","QUESTIONS PASSED AS ORDERS FOR RETURNS.","","","Laurier Liberal",NA,"Air. J. H. SINCLAIR:",1918-05-22,1918,5,22,"Wednesday",1918-05-01,"1.How many officers of the Permanent Corps, Canadian Militia, are employed in Militia District No.11.How many of such officers have seen overseas service in the present war.What is the pay and allowance of these officers .Has the officer in charge of the School of Instruction at Work Point seen overseas service in this war.Must officers returning from the front who have received their promotion in the field, take a course of instruction under the officer referred.to in Question 5, before their commission can be confirmed in the Canadian Militia.How many officers now on the Establishment of the 5th Regiment have seen overseas service in the present war.Is it the intention that such officers who have not seen overseas service shall be given an opportunity of seeing such service and that their places filled by returned officers.How many (a) Warrant Officers, (b) Noncommissioned Officers, (c) Privates, in the Permanent Corps of the Canadian Militia employed in Militia District li have not seen overseas service in the present war.Has the Assistant Judge Advocate General in Militia District 11 had any military experience"
740614,"1925-05-01","DOMINION LANDS ACT AMENDMENT","",NA,"Progressive",NA,"Edward Joseph Garland",1925-05-01,1925,5,1,"Friday",1925-05-01,"Supposing someone wanted to buy school lands in that district for farming purposes what would be the process"
2816560,"1972-07-07","GOVERNMENT ORDERS","FAMILY INCOME SECURITY PLAN","MEASURES TO PROVIDE BENEFITS IN RESPECT OF CHILDREN","New Democratic Party",NA,"William George Knight",1972-07-07,1972,7,7,"Friday",1972-07-01,"As the hon.member says, it will be worse.The middle income groups, those families earning $7,000, $11,000 or $12,000, will lose, for the most part, the family allowances that were introduced by a previous Liberal government and paid as a social right.At the same time, some in the middle income groups have been forced to contribute to unemployment insurance, even though the Unemployment Insurance Commission will do little for them.Such contributions are restrictive in that they decrease peoples' incomes.Let us not fool ourselves by assuming that it will be easy to draw the line under the new family allowances program and say one family is justified in getting benefits and another is not.Consider, for instance, the situation of the farmer, and compare it with that of the teacher or the industrial worker.There is a time in people's lives, mostly when they are between 20 and 35, when they are trying to get established.Some people, even though they make $7,500, $8,000, or $8,500, at one time in their lives incur the expense of raising children.That is when they need family allowances.This program, which is to be based on selectivity, will reduce the incomes of those individuals.The family allowance under the old legislation was paid as a social right, and for many it is to be curtailed.Allow me to point out some of the figures involved.A family, with one child, earning $4,500 a year will get $20 under this program.A family, with one child, earning $6,000 a year would get $15.5.If we assume in all cases that the family has one child, at $7,000 it will get $11.5; if it earns $8,000, it will get $8.5; if it earns $9,000, it will get $5.5; and when it reaches $10,000, in theory it will get $1.5 which is not payable.Let us now consider a family with two children under 12 years old, since that is where the maximum benefit would be available.With an income of $5,000, it would receive $30; with $6,000, it would get $23.0; with $7,000, $16.0; with $8,000, $10.0; and with $9,000, $3.0.It must be remembered that for every increase of $100 in income the basic family allowance decreases by 33 cents.That is an added complication.Also, every time a child reaches 12 and enters the higher age bracket, the department must be notified.The amount of family allowance receivable will be changed.All this involves administrative work.When a child is born, the parents must inform the department and every time the family's fortunes change notification must be sent to the Department of National Health and Welfare.When income falls, the family must notify the department in the hope of obtaining a greater benefit; and when income increases, it must also notify the department.This is all very complicated.I do not know who was involved in the drawing up of this program.."
3811219,"1990-02-05","PRIVATE MEMBERS' BUSINESS - MOTIONS   OCCUPATIONAL HEALTH AND SAFETY FUNDING","","","New Democratic Party",NA,"Cyril (Cid) Samson",1990-02-05,1990,2,5,"Monday",1990-02-01,"Mr.Speaker, it is a pleasure for me to rise today in support of the motion put forward by my friend for Hamilton West.The Canadian Centre for Occupational Health and Safety was established in 1978.It was established to supply crucial research and information, which is duplicated nowhere else, to all workers in this great country.It is very obvious to us on this side of the House that the government has a very blatant plan to privatize the CCOHS.In order to privatize an industry you must have a product to sell.In this case, Mr.Speaker, the product is information, information that relates to the health and safety of all workers across Canada.The information is contained on a computer disc which the government tells us can be sold at a high price.And that is what this is all about, profit line.This is information which was donated and shared by institutes like NIOHS in the United States.Therefore this government is proposing, not only to sell something that we do not own to begin with but also to increase the price of the service.I listened with interest to the member opposite when he said that it is not profits, it is cost recovery.That kind of says the something to methe bottom line.I wonder at times why it is that whenever we talk about health and safety in the workplace we have to say ""profits"" or ""cost recovery"" in the same breath.Surely somewhere down the line we have to put the health and the safety of our workers before profits.The member opposite and the government are saying that employers are paying millions of dollars in contributions to these services.I must point out that workers are paying with their health and their lives.When we can offer a service that will educate them so that they know more about what they are working with and what the ramifications are of working with these products, I think this is more in line with what we really want to offer our workers.We hear it said that we have done well in the health related issues and now we have to look at the safety related issues.Every time I have talked to someone in the business industry about safety the first thing that is said is that it is the worker's fault, he was not paying.ttention, or the worker was hung over.It worries me when we talk about safety in that context.The government has to make a commitment to workers to maintain the CCOHS to ensure that workers and their representatives have free access to this information.If we insist on privatizing this service, which is exactly what we are doing, we are taking that right away from them.I urge all members of this House to disregard what was said by the other side and support this motion by our friend for Hamilton West.."
4397482,"2008-05-15","Government Orders","Tsawwassen First Nation Final Agreement Act","","Bloc Québécois","Argenteuil--Papineau--Mirabel","Mario Laframboise",2008-05-15,2008,5,15,"Thursday",2008-05-01,"Mr.Speaker, I am pleased to speak on behalf of the Bloc Québécois to Bill C34, An Act to give effect to the Tsawwassen First Nation Final Agreement and to make consequential amendments to other Acts.The Bloc Québécois is in favour of the bill to give effect to this agreement.We are basing our support on three fundamental principles.First, our party has always embraced the idea of the right to selfgovernment for aboriginal peoples, and this agreement makes that right a reality.If only for this reason, we should support the principle underlying this entire agreement..Second, a majority of the Tsawwassen—70%— voted in favour of this agreement in a referendum.It would be inappropriate for sovereignists to oppose this..Third, the agreement is a fine example of selfgovernment. More generally, the Bloc Québécois is concerned about aboriginal claims for selfgovernment.It acknowledges the aboriginal peoples as distinct peoples with a right to their own cultures, languages, customs and traditions, and a right to decide for themselves what path to take in developing their own identity.Bill C34 is the last stepping stone in giving effect to the tripartite agreement between the Tsawwassen, the Government of British Columbia and the Government of Canada. In view of the nature of the bill giving effect to the final agreement, it seems to us that the role of Parliament is to debate and accept or reject this bill.There is no need for us to amend this bill.It was duly endorsed by the three parties who negotiated it.To amend it would be to patronize it, and that we refuse to support..We would point out that the Bloc Québécois endorsed the essence of the recommendations of the Royal Commission on Aboriginal Peoples, the ErasmusDussault commission.It set out aboriginal selfgovernment as a level of government with jurisdiction over matters of good government and public wellbeing.In addition, the report as a whole was based on recognition of aboriginal peoples as autonomous nations occupying a unique place in Canada. The Bloc Québécois traditionally stands behind aboriginal peoples in their quest for justice and the recognition of their rights.The Bloc Québécois recognizes Quebec's 11 aboriginal nations for what they are: nations.The Bloc Québécois recognizes the aboriginal peoples as distinct peoples who have a right to their cultures, their languages, their customs and their traditions, and a right to decide for themselves what path to take in developing their own identity..n 1996, the Royal Commission on Aboriginal Peoples—the ErasmusDussault commission—released a comprehensive report that proposed farreaching changes over a period of 20 years leading to selfgovernment for aboriginal peoples by respecting their customs, cultures, languages and ancestral institutions.Since then, the Bloc Québécois has pressured the federal government to act on the recommendations made in the ErasmusDussault report.The Bloc Québécois believes that aboriginal peoples must have the tools to develop their own identity, namely the right to selfgovernment and the recognition of their rights.The Bloc Québécois has for many years recognized aboriginal peoples’ right to selfdetermination.As far back as 1993, the manifesto of the Forum paritaire québécoisautochtone recognized the right to selfdetermination as the basis for relations between Quebeckers and aboriginal peoples.In fact, we have recognized this right since the Bloc Québécois was founded.The Bloc Québécois is of the opinion that there is no universal instrument that protects the rights of indigenous peoples, who continue to be among the poorest and most marginalized people in the world.Our party understands that the draft declaration represents a compromise between member states and indigenous peoples, but it is an acceptable compromise, and we feel it should be supported.Quebec already has a number of positive agreements with first nations and has everything to gain from the signing of the declaration.Our party believes that the aboriginal communities in Quebec must have adequate housing, decent public infrastructure and the human and material resources they need to improve social and health conditions.The Bloc Québécois believes that Ottawa must shoulder its responsibilities and respond to the “10,000 possibilities” project, which is aimed at creating 10,000 jobs, encouraging 10,000 dropouts to return to school and building 10,000 housing units.The project was unveiled by the first nations of Quebec at the forum in Mashteuiatsh.The Bloc Québécois is also proud to be working with the first nations of Quebec to organize the first day of awareness of the first nations of Quebec, which will take place in the House of Commons on December 10..The Bloc Québécois believes that, in order to develop harmonious relations with Quebec's aboriginal peoples, we must first listen to them and understand them by taking an interest in their reality, their differences and the challenges they face.This bill would give effect to the Tsawwassen First Nation final agreement.Once ratified, the treaty will provide a comprehensive and final settlement of the ancestral rights, including title, of the Tsawwassen First Nation.It defines the Tsawwassen First Nation's rights under section 35.It specifies the geographic area where those rights apply and the limitations on those rights set by agreement by Canada, British Columbia and the Tsawwassen First Nation.The treaty can be amended after it has been ratified, but the three parties—Canada, British Columbia and the Tsawwassen First Nation—must agree on any amendments.Once the treaty is ratified, it cannot be amended unilaterally.“This treaty, the first in the Lower Mainland, abolishes the Indian Act through selfgovernment, not assimilation,” said Chief Kim Baird.“It gives us the tools to build a healthy community and the opportunity to participate fully in the Canadian economy. .bviously, because 70% of the community ratified the agreement, we must accept it as presented to the House of Commons, without amendment.WhyIt serves as an example for other aboriginal nations, including other nations in Quebec.It is the first modern, urban treaty.Thus, it is important to the aboriginal communities listening.This agreement is estimated to be worth $120 million, including land worth $66. million, $16 million in compensation, and other royalties worth $37 million.The agreement gives them 724 hectares of land.They will have municipalstyle selfgovernment, with the ability to levy taxes.The Indian Act will no longer apply to this first nation, except when it comes to designating Indian status..sawwassen First Nation members are Coast Salish people who belong to the Hun’qum’i’num linguistic group.In their language, Tsawwassen means “the land facing the sea. Historically, they have travelled and fished the waterways of the southern Strait of Georgia and the lower Fraser River.Tsawwassen First Nation has approximately 358 members, about half of whom live on reserve in an area situated on the southern side of the Lower Mainland, between the BC Ferry Terminal and the Deltaport Container Terminal and Roberts Bank Coal Port.The community straddles Highway 17, along the Georgia Strait shore..he Tsawwassen have a long history that dates back to 2,260 B..The occupation of the land has been demonstrated by carbon14 tests.It has taken some time to regain the autonomy they had back then.This treaty has a lot of history behind it..n 1791, the Spanish and the British explored the coast.Epidemics killed between 80% and 90% of the Coast Salish population.In 1851, the Tsawwassen territory was split in two when the border was established with the United States.Point Roberts is now in the state of Washington.The first contact with the Catholic church took place when the Saint Charles mission was established in 1860.In 1871, the reserve was created and by 1874 the reserve had an area of 490 acres.In 1906, a delegation of Salish chiefs travelled to England to claim their ancestral lands.In 1958, the nation's longhouse was torn down to make way for the ferry terminal and the highway.At the same time, the reserve was again cut in two.In 1993, a formal claim was filed with the province.In 1995, construction of the longhouse began almost 40 years after the first one was destroyed.In 2003, the Tsawwassen First Nation, British Columbia and Canada reached an agreement in principle, which was signed in 2004.On July 25, 2007, 70% of the nation's members voted in favour of the agreement.Debate in the British Columbia legislature began on October 15, 2007.On December 6, 2007, the agreement was signed in Ottawa.Given that the Tsawwassen nation dates back to 2260 B.. it has been waiting a long time for selfgovernment.The general idea of the Tsawwassen First Nation final agreement is to eliminate the uncertainty that has surrounded the ancestral rights of this aboriginal nation to land that it claims as its traditional territory and which covers 279,600 hectares, including the waters of the southern Strait of Georgia..his agreement will give the Tsawwassen First Nation modern governance tools enabling it to establish solid and viable relations with the federal, provincial and municipal governments and to support an atmosphere of certainty and economic prosperity for the entire Lower Mainland region. The final agreement covers approximately 724 hectares of treaty settlement land including approximately 290 hectares of the former Indian reserve and 372 hectares of provincial Crown land.Tsawwassen First Nation will also own in fee simple an additional 62 hectares of waterfront land comprised of the Boundary Bay and Fraser River parcels.This land will remain under the jurisdiction of the municipality of Delta, known as the Corporation of Delta. Tsawwassen First Nation will have the right of refusal for 80 years after the treaty takes effect to purchase approximately 278 hectares of lands north of Tsawwassen lands—known as the Brunswick Point lands—if the people currently leasing these lands choose not to buy them or decide to sell them later..f Tsawwassen First Nation purchases land within the Brunswick Point lands within 50 years after the effective date of the treaty, these lands may be added to its “treaty settlement lands”..ollowing this 50year period, Tsawwassen First Nation can add land within its territory to its treaty settlement lands, but the federal, provincial and municipal governments must consent to the addition.Federal and provincial laws, as well as Tsawwassen laws, will apply to Tsawwassen lands.However, the provincial agricultural land reserve designation continues not to apply to the former Indian reserve lands and will apply to about half of the additional former provincial Crown land that will become Tsawwassen lands.The agricultural land reserve designation will apply to the Boundary Bay and Fraser River parcels..his agreement also has a financial component.It is important that our viewers understand this. First of all, it includes a capital transfer of approximately $13. million over 10 years, less any outstanding negotiationrelated loans..here will also be funding of $15. million to support all onetime startup and transition costs, as well as $2. million in funding for programs and services and the incremental implementation of governance activities.In addition, Canada will pay $2. million in consideration of the release by Tsawwassen First Nation of the rights to the mines and minerals under previouslysurrendered reserve lands.Furthermore, $100,000 will be paid for forest resources to compensate for the fact that Tsawwassen First Nation will have no access to economic forestry activities in their territory..s for wildlife, migratory birds and forest resources, this agreement guarantees the right to harvest wildlife and migratory birds for food, social and ceremonial purposes within specified areas, subject to conservation, public health and public safety.The federal and provincial ministers will retain authority, within their respective jurisdictions, to manage wildlife and migratory birds and their habitats..Tsawwassen First Nation will manage the designation and documentation of Tsawwassen First Nation hunters.With respect to fish, under the treaty, Tsawwassen First Nation will have the right to harvest fish and aquatic plants for food, social and ceremonial purposes, subject to conservation, public health and public safety.The final agreement provides for Tsawwassen First Nation’s treaty allocations of salmon for food, social and ceremonial purposes.The following quotas would be established under food, social and ceremonial fisheries: 12,000 sockeye, 625 chinook, 500 coho, up to 2,000 chums, and other advantages.A harvest agreement, separate from the final agreement, provides for economic access to salmon for the Tsawwassen First Nation..ith respect to culture and heritage, Tsawwassen First Nation can make laws to preserve, promote and develop culture and language, conserve and protect heritage resources on its lands, and deal with archaeological materials, sites and ancient human remains..ith respect to governance, with the exception of determining Indian status, after a transition period the Indian Act will no longer apply to Tsawwassen First Nation, its land or members.Instead, constitutionally protected selfgovernment provisions will enable Tsawwassen First Nation to make its own decisions on matters related to the preservation of its culture, the exercise of its treaty rights and the operation of its government..he final agreement requires Tsawwassen First Nation to have a constitution that provides for government that is democratically and financially accountable to its members.Tsawwassen First Nation will consult with nonmembers who are resident on Tsawwassen Lands about decisions that directly and significantly affect them.Tsawwassen First Nation will provide those nonmembers an opportunity to participate in decisionmaking processes that significantly affect them..here will be nonmember representation on any government or public institution that makes decisions relating to matters that directly and significantly affect nonmembers, including taxation.The nonmember representative will be selected by nonmembers and have the ability to participate in discussions and to vote on matters that directly and significantly affect nonmembers.As far as taxation is concerned, the government of the Tsawwassen First Nation will have the ability to levy direct taxes on its members within treaty settlement lands, known as Tsawwassen lands..The tax exemptions for transaction taxes and other taxes under section 87 of the Indian Act will be phased out after 8 and 12 years respectively..British Columbia will share with Tsawwassen First Nation 50% of provincial income tax and sales tax revenue collected from Tsawwassen First Nation members.British Columbia will share with Tsawwassen First Nation 100% of real property tax collected from anyone residing on Tsawwassen Lands.In terms of local government relations, the Tsawwassen First Nation will become a member of the Greater Vancouver Regional District and appoint a director to sit on the GVRD board.The Tsawwassen First Nation will pay for core mandatory services, such as air quality, strategic planning, 911, regional parks and general government services..Tsawwassen First Nation and the Greater Vancouver Water District may enter into a local water services agreement and Tsawwassen First Nation may enter into service agreements with other local governments. The agreement gives the Tsawwassen the tools to achieve financial independence.The agreement also gives them more power to protect their lifestyle, stimulate economic growth and improve the welfare of their community..It is for all these reasons that the Bloc Québécois will support Bill C34.Our support sends a message to all of Quebec's aboriginal communities that may want to achieve selfgovernment.They can always count on the Bloc Québécois's support. What is happening with the Tsawwassen nation is easy to understand.Its land, which is now defined and belongs to them, will be governed as a municipality.It will be able to levy taxes and have a seat on regional organizations.For example, a community in Quebec that wants to be part of a similar agreement could be considered as a municipality, which would allow it to sit on the board of the regional county municipality.I am thinking of the Papineau regional county municipality in particular, where I was reeve for a number of years—some might say too many years.If by chance a reserve located in that region had had a style of governance like the one suggested in this agreement, then the reserve would have had a representative at the table of elected members, the council of mayors of the Papineau RCM.The representative could have taken part in the debates and benefited from the available programs to which this community could have belonged.That is just an example, of course.The Bloc Québécois fully supports this agreement.Again, we will not accept any amendment since this agreement was accepted without change by 70% of the community.We therefore expect there to be no change and for Bill C34 to incorporate this agreement exactly as it was adopted by the people and representatives of the Tsawwassen community.This example could be used by other aboriginal communities we support."
4224952,"2002-10-03","Speech From The Throne","Resumption of debate on Address in Reply",NA,"Liberal","Winnipeg South","Reg Alcock",2002-10-03,2002,10,3,"Thursday",2002-10-01,"Mr.Speaker, I would like to begin my remarks today by congratulating the Prime Minister, the cabinet, all of the MPs who have worked so hard over these last few years and contributed to the development of this speech, the staff who have worked diligently over the summer, the public servants, and Canadians, whom we see reflected over and over again in this speech.In many ways this is the starting point that gets us back on track, back where we wanted to be after the 2000 election, a course we were diverted from by the terrible events of September 11.All members will know just how the House was seized with the work on security to try to ensure that we had the capacity to respond to and to prevent a repetition of such tragedies.Now we are back to the agenda that the government laid out in the election campaign of 2000, with which so many members here have been struggling and on which they have been working over the time since the last election.I would make the comment right off the top that this is an enormously ambitious agenda.It is an enormous number of initiatives that we have to fit into a relatively short period of time and the House will have to work extremely hard to see quality legislation produced that reflects the wishes of Canadians.Within the speech, we see how a process within the House, within the work done by members here on the Hill, now comes together in a series of commitments that soon, with the passage of legislation, will become programs that will go on to benefit Canadians for a very long time.I want to focus on a few of them.I was privileged to be a member of the urban task force.We spent a great deal of time travelling across the country speaking to mayors and citizens in cities all across the country, trying to sort out how we could assist them in grappling with some of the terrible problems with which cities are confronted.Our large urban centres are having difficulty, in part because of a restricted tax base, in responding to the demands for new infrastructure that will allow them to build the kind of modern infrastructure that will make it possible for them to remain competitive into the future.We heard over and over again about the need for the country to come to terms with how we treat and support our cities.In doing this, I wish to congratulate the mayor of Winnipeg, Mayor Murray, who has been a very effective leader in this debate over the last few years.The mayors of the five big cities have contributed strongly, as has the Federation of Canadian Municipalities, to the work that the task force did.We see that reflected in the Speech from the Throne.If there was one thing the mayors asked us for it was to please extend the timeframe for infrastructure so that they could plan, so that infrastructure would not come as a surprise that is announced every now and again.Then they have to adjust all of their planning in order to fit the funds that are available.They asked us over and over again to put in place a plan that would give them some predictability and, frankly, the opportunity to move in a more coordinated fashion toward the development of the infrastructure that they feel they need in their regions.The government has responded to that.The House will be challenged to go through the details of this to see whether it meets some of the tests that the mayors put on us.One of the things I will be interested in looking at is whether we will be tied to the old trilateral structure for these agreements or whether the federal government will free itself and allow itself to work bilaterally with cities.That was an issue that came up over and over again in those debates.I am hoping and will be arguing that it should be included in this legislative agenda.Above all, I want to thank the member for York West, who chaired that process and who worked countless hours.In fact none of us are sure how she managed to keep up with the demands.She produced a very competent report that we now see reflected in a series of commitments in the Speech from the Throne.I want to stop a minute to talk about a program that was actually introduced some time ago by the government.In the Speech from the Throne there is a commitment to substantially increasing it.That is the child tax benefit.I think that some years from now when people start reflecting on this, they will recognize that the child tax benefit is as significant a social program as some of the other main programs we have put in place, such as health care and pensions, those big pillars of our social safety net.This is a program that for the first time steps back from some of the paternalistic attitudes that we have had toward very poor people, a step back from surrounding them in a network of services that are available only if they are good, a step back from people who are caught in the welfare trap.It says that people are competent to make their own decisions, that some people simply do not have access for a variety of reasons, such as low wage rates, lack of education and other things, to the kind of financial support that allows them to live healthy lives and raise healthy children.It puts money directly into their hands and trusts them to be able to make competent decisions on behalf of their families.I think it is a radical change from the history of social welfare in this country.I think the government should be congratulated for bringing it in.I think the Prime Minister is to be congratulated for committing to substantially increase that credit.I want to congratulate people like Wayne Helgason from the Social Planning Council of Winnipeg and Mike Owen from the Winnipeg Boys and Girls Clubs, who have worked hard to help the government to understand the value of stepping back from those more paternalistic services and delivering services directly.I also want to spend a bit of time on first nations.In Manitoba we have a very large first nations population.In the city of Winnipeg we have a large, growing younger generation.An everincreasing portion of the workforce is made up of young first nations people.There has been a dramatic change in the leadership within first nations communities over the three decades that I have been working with them.I worked very closely with them in the early eighties.I am absolutely and deeply impressed with the quality of the leadership, the quality of the governance that is being built in those communities.We have several pieces of legislation coming forward.There is the governance act, which we will have to look at very carefully and work on with leaders.I want to thank leaders like Grand Chief Margaret Swan and Chief Jerry Fontaine, who have worked closely with me and with others to help us understand how that legislation can be improved.I want to congratulate the government for the commitments around economic development.If there is anything that is going to help us get out of some of the traps that have been created historically, it will be to give people the tools through education, early childhood development and support in starting to take control of their own lives economically.I think it is an incredibly important initiative.It is important for my province.I think the government should be congratulated for doing it.On immigration, if we were to prioritize the two or three big initiatives for my province and my city, certainly assisting aboriginals would be one and immigration would be another.We live in a very large area with a relatively small population.Here again I wish to congratulate a lot of people who have worked very hard: the minister responsible for the provincial nominee program, Becky Barrett; the business council with Art DeFehr and Bob Silver; the people on our immigration advisory committee, Sharad Chandra and Ken Zaifman and the 70 or 80 people who work month after month trying to sort out ways to solve these problems.In Manitoba the provincial nominee program has a 91% success rate at bringing people in and settling them in the community with jobs and helping them become very successful.That is because of the work of the people in Manitoba who are so committed to seeing immigration grow.I also want to thank our Minister of Citizenship and Immigration, who has taken the time to meet with these people and work with them, not once but several times, and continues to do that and to pick up their challenges.One of the very first things that the group raised with the new minister of immigration was the problem with credentials and how we can bring in people who have professional credentials but cannot work in their field because they cannot get access to local licensing.That is because of the multiplicity of laws across the country and how the laws are fixed, in either arm'slength organizations or provincial jurisdictions.We have to sort that out if we are going to be effective at recruiting the best from around the world to live in our country.I think the minister has done an absolutely superb job.In the Thanksgiving break week there will be a twoday federalprovincial conference on this issue.The minister will bring together the ministers of all the provinces so that they can finally sit down at the table to try to sort out this important area.I want to move on to research and development because there is a series of initiatives here that I think are timely and important.They are going to be difficult for the House and we are going to have to work hard to sort them out, but I also want to talk about some of the things we have done that I think need improving and which we now have an opportunity to fix.It has been said by some that dealing in the area of public policy is a little like trying to change a tire on a moving car.The thing is in progress and has a certain infrastructure and momentum and we are trying to fix it as it goes along.That is particularly true when the government gets involved, creates a number of initiatives that get into play and then discovers that maybe some aspects have worked well but others have not.I think that is the case in our support for research and development.I am, and I declare it every time I stand in the House, a huge proponent of increasing the support for research and development, for the development and acquisition of knowledge, as a way of maintaining our competitive edge in the world.I am also a huge proponent of beginning to incorporating new technologies in the management of public space.That will allow us to meet a whole bunch of goals that I hear members of the House talking about, such as increased transparency and accountability.They are part of the paradigm of becoming smarter as a country.At the same time I think there are some real problems in our research infrastructure.Some of them existed before the coming of this government, but some of them have been created, fostered and enhanced by this government.Let me reference two of them.First, we have put a lot of new money into initiatives and granting councils such as the Natural Sciences and Engineering Research Council and the Social Sciences and Humanities Research Council.We did a big reform of the Institutes of Health Research and again added additional funding.These are important initiatives.The Institutes of Health Research is a model of how a network research institution can be built.It incorporates the best in every province and builds upon their existing strengths.Alan Bernstein and others in that organization should be congratulated for their leadership and the very important work they do.I hope we will find a way to steadily increase the funding that is available to them.Similarly, the Social Sciences and Humanities Research Council is well networked and provides important support to researchers all across this country in understanding how we live.But there are some problems.I would say that NSERC, the sciences research council, and the Canada Foundation for Innovation are stuck in an older model.Frankly, I do not think they have caught on to what needs to happen in a modern economy.I think that they basically have dismissed most of the country and have decided that there are only five universities in Canada worth supporting and have biased the majority of their funding toward those five.I think that is wrong.There is another thing we have done.We have announced a multiplicity of programs.We now have health research, social sciences, NSERC, the Canada Foundation for Innovation and the chairs program, as well as another foundation for the environment, with a number of pockets of research money scattered throughout various departments.So universities have to bring on staff and divert professorial time away from actually doing research or teaching to “grantsmanship”.They run around trying to negotiate the multiplicity of doors they have to get through in order to assemble the financial support needed to do the work that they do.In this throne speech, we see a series of commitments about continuing to increase financial support.I would hope and I will be arguing that we need to shape this support so that we correct the imbalance created by the Canada Foundation for Innovation and NSERC, so that we begin to recognize, as the Institutes of Health Research and SSHRC have done, that there is capacity in every single university in every single part of the country.I hope we will use the tools the government has to perhaps move those two organizations into a more modern view of management, one that is more responsive to the kind of Canada that I believe most Canadians would like to see built.There are other elements within that package.If we look at how the speech is written, we will note that there are a number of sections.This one is in learning and innovation.There is another section about smart regulation.There are going to be some debates here: changes in copyright protection, changes and finalization of a very important piece of work that was done by the health committee on new reproductive technologies, and pesticide use.These issues have been debated well by the House.The piece of work that was done by the health committee which I had the privilege to be a part of, the former leader of the Alliance, Mr.Manning, and others, was to me a model of how good work can be done on difficult, contentious issues.Debates around here have a range from the pretty mundane, ordinary kind of boring debates right up to the hottest of emotional and personal issues.That topic took us right into all of the areas we are so fearful around, such as abortion and the rights of the unborn, and all of those kinds of things.Yet, that committee was able to grapple with those and come through that experience to produce a report that every member of the committee felt good about.I once wrote a piece on how it is not possible for the House of Commons to make an optimal decision.What is optimal depends on the point of view of the individual putting it forward.No matter what people put forward they will not be thoroughly pleased or get 100% because the nature of this place is ultimately to compromise.It is ultimately to find the most optimal route from a complex set of opinions, a complex set of beliefs, and a complex set of needs.That was something we achieved in that committee on an exceptionally difficult topic.I was proud to be a part of it.Now we are down to the work in the House.All the committees would like to work on their pieces of legislation.I had the privilege of being part of the work to create a new committee in the House.It was created before the summer recess.It is the new Standing Committee on Government Operations and Estimates.Because it is a new committee there are all sorts of expectations and all sorts of things being brought to the committee for us to work on but I want to"
